wavelength [m]	c_mean [m/s]	c_low [m/s]	c_up [m/s]
1.8869	109.622	108.756	110.489
2.0747	111.281	110.064	112.498
2.2812	113.104	111.501	114.707
2.5082	115.271	113.589	116.953
2.7578	117.705	116.044	119.365
3.0323	120.081	118.388	121.773
3.3341	122.423	120.646	124.2
3.6659	124.991	123.135	126.846
4.0307	127.796	125.887	129.704
4.4319	130.859	128.885	132.832
4.873	133.942	131.805	136.079
5.358	137.332	135.015	139.649
5.8912	140.619	138.253	142.985
6.4775	144.15	141.759	146.542
7.1222	147.215	144.906	149.525
7.831	150.049	147.903	152.195
8.6104	152.579	150.571	154.587
9.4673	154.377	152.451	156.302
10.4095	156.266	154.395	158.138
11.4455	157.843	155.824	159.862
12.5846	159.577	157.395	161.759
13.8371	160.986	158.574	163.398
15.2142	162.493	159.824	165.162
16.7284	164.081	161.007	167.154
18.3932	165.795	162.22	169.369
20.2238	167.509	163.45	171.569
22.2365	169.186	164.675	173.698
24.4496	170.844	166.109	175.579
26.8829	172.016	167.992	176.04
29.5584	173.305	170.063	176.547
